group,amp_real,tau_real,sf_asym_real,amp_sim,tau_sim,sf_asym_sim,band
BAL,0.11240546703893496,0.0001785326856616985,0.2644931930847549,0.11240546703893496,0.0001785326856616985,0.128130544664831,g
BAL,0.2013973434798675,1.444991603594918,0.3920698545572532,0.2013973434798675,1.444991603594918,0.2866591939071732,g
BAL,0.07198963175722047,9.160143870344644,0.19554922612189185,0.07198963175722047,9.160143870344644,0.1014360561720175,g
BAL,0.1007407588106783,54.619355868001094,0.21377564401009225,0.1007407588106783,54.619355868001094,0.2334044924149791,g
BAL,0.16332661189206663,10.592048911947694,0.3000331230000007,0.16332661189206663,10.592048911947694,0.22229758751245965,g
BAL,0.06523532517963344,121.30473383731672,0.18353571627518125,0.06523532517963344,121.30473383731672,0.10728650717530812,g
BAL,0.19295862657064558,7.403233677877432,0.326582433792441,0.19295862657064558,7.403233677877432,0.2961211764550884,g
BAL,0.2450122577797325,708.0011217201172,0.15466798421074626,0.2450122577797325,708.0011217201172,0.16819586343031287,g
BAL,0.22587045644313725,0.00025039974961067074,0.34392520474635124,0.22587045644313725,0.00025039974961067074,0.2477093152062028,g
BAL,0.10558387079570203,13.405489867590942,0.25062537756861547,0.10558387079570203,13.405489867590942,0.1478255786364048,g
BAL,0.32610745374303995,1.156616244057942,0.5070754959365186,0.32610745374303995,1.156616244057942,0.4802404883262181,g
BAL,0.13188272267445314,548.3682838980567,0.17298682049999933,0.13188272267445314,548.3682838980567,0.2664739316972132,g
BAL,0.17803703035523757,1.3888463380392255,0.321593259,0.17803703035523757,1.3888463380392255,0.22958880577060573,g
BAL,0.031163529037860852,19.962857154502572,0.14025763699144883,0.031163529037860852,19.962857154502572,0.04322903095075753,g
BAL,0.06143982182574579,74.10407256987256,0.1848746534707259,0.06143982182574579,74.10407256987256,0.15332282634999492,g
BAL,0.058790027822519936,48.36713432660547,0.16047539391678353,0.058790027822519936,48.36713432660547,0.07113864233910419,g
BAL,0.17950239747336463,268.8508970763905,0.3811704000000041,0.17950239747336463,268.8508970763905,0.6159960056270662,g
BAL,0.24488245950156454,1.2223923929416765,0.46459340874498994,0.24488245950156454,1.2223923929416765,0.31795764087111883,g
BAL,0.14629788082273773,0.00018594483390932135,0.3049947432313213,0.14629788082273773,0.00018594483390932135,0.18904930095583666,g
BAL,0.12291856132475674,53.253562055635335,0.2195295734657631,0.12291856132475674,53.253562055635335,0.18264238484444845,g
BAL,0.17043976846382436,476.1561223454646,0.16079774099999786,0.17043976846382436,476.1561223454646,0.1342655817771178,g
BAL,0.12845966770005654,1.1013743279689618,0.18419084714907225,0.12845966770005654,1.1013743279689618,0.18882346154954036,g
BAL,0.1515372822347184,378.25580554503625,0.2108653980846843,0.1515372822347184,378.25580554503625,0.18692508603603036,g
BAL,0.1865315405679768,46.73420440281942,0.3227965094326056,0.1865315405679768,46.73420440281942,0.4110615070474837,g
BAL,0.07599314997495195,39.450247662491535,0.20104795769091696,0.07599314997495195,39.450247662491535,0.10995095208863158,g
BAL,0.08047228859667059,90.35255997091332,0.150125118000004,0.08047228859667059,90.35255997091332,0.12455270511518544,g
BAL,0.06633206538303577,8.567030027779579,0.18303305938820835,0.06633206538303577,8.567030027779579,0.08178703059105714,g
BAL,0.20111531437864805,8.780550290270489e-05,0.4084203045000001,0.20111531437864805,8.780550290270489e-05,0.26431642607445976,g
BAL,0.13298744399461987,0.3792324815105797,0.3577911090000012,0.13298744399461987,0.3792324815105797,0.1658607527312699,g
BAL,0.20929456830249993,27.41805326064932,0.2619874439627916,0.20929456830249993,27.41805326064932,0.35363560974866165,g
BAL,0.19722587131008576,9.431959872053192e-05,0.4061842421010243,0.19722587131008576,9.431959872053192e-05,0.23814096919859418,g
BAL,0.1555134829690226,15.718252794531288,0.33990461317479176,0.1555134829690226,15.718252794531288,0.31856203031373054,g
BAL,0.15802236468150835,19.029733849204053,0.3154939079380708,0.15802236468150835,19.029733849204053,0.2427243141896214,g
BAL,0.08793532459331282,14.890817074683628,0.24736488074999863,0.08793532459331282,14.890817074683628,0.12982271053934846,g
BAL,0.06358855533992275,34.455118340558926,0.13100880000000004,0.06358855533992275,34.455118340558926,0.06644552935931732,g
BAL,0.19176949385702924,43.96095822682522,0.28570349867298117,0.19176949385702924,43.96095822682522,0.26598717705742625,g
BAL,0.13099975790090454,29.373851564735112,0.3046060212549488,0.13099975790090454,29.373851564735112,0.17876335494205492,g
BAL,0.1453062487810675,0.00011248646627934324,0.3031341300364006,0.1453062487810675,0.00011248646627934324,0.17605060980911375,g
BAL,0.1702107215729279,1.8059531505745412,0.326258740939754,0.1702107215729279,1.8059531505745412,0.2385287463369927,g
BAL,0.10542011348830277,0.030568815557081016,0.2702239897500005,0.10542011348830277,0.030568815557081016,0.13550754342459648,g
BAL,0.08877626162604588,28.65745660283946,0.19211754559505528,0.08877626162604588,28.65745660283946,0.16060721142953657,g
BAL,0.2510579303862768,3.599970794386162,0.43069741465149225,0.2510579303862768,3.599970794386162,0.3933837964513868,g
BAL,0.1439013832911177,102.78673679395655,0.2596226283858175,0.1439013832911177,102.78673679395655,0.22324052342494627,g
BAL,0.07314759721981828,4.214101123558381,0.12344837700000222,0.07314759721981828,4.214101123558381,0.09883650581782275,g
BAL,0.16669650920163342,260.47030647830223,0.26190940729480383,0.16669650920163342,260.47030647830223,0.3234293867800858,g
BAL,0.2481134812062833,0.0003604311296943723,0.5010662377499999,0.2481134812062833,0.0003604311296943723,0.3238199522927979,g
